Station	Year	Month	C	RH	Blight
12843	1995	3	20.68	75.13	2.65
12843	1995	5	26.66	73.15	0.61
12843	1995	6	26.6	78.46	0.83
12843	1995	7	27.53	77.91	0.42
12843	1995	9	27.03	80.19	0.6
12843	1995	11	19.68	74.63	1.97
12844	1990	1	22.05	73.79	1.52
12844	1990	2	22.62	68.35	0.79
12844	1990	3	22.68	67.27	0.74
12844	1990	4	23.15	69.66	0.77
12844	1990	5	26.03	75.03	0.52
12844	1990	6	27.44	73.36	0.17
12844	1990	7	27.78	77.68	0.39
12844	1990	8	27.77	79.33	0.71
12844	1990	9	27.76	76.78	0.6
12844	1990	10	26.35	73.06	0.26
12844	1990	11	22.9	69.92	0.77
12844	1990	12	21.56	75.06	1.55
12844	1991	1	21.5	78.06	2
12844	1991	2	19.98	69.03	1.75
12844	1991	3	22.25	70.28	0.81
12844	1991	4	24.8	74.9	0.97
12844	1991	5	26.55	75.28	0.32
12844	1991	6	27.08	78.07	0.67
12844	1991	7	27.75	78.76	0.48
12844	1991	8	28.2	77.31	0.58
12844	1991	9	27.32	79.63	0.83
12844	1991	10	25.57	76.48	0.71
12844	1991	11	21.89	75.69	1.03
12844	1991	12	20.7	76.49	2.55
12844	1992	1	18.29	75.06	2.06
12844	1992	2	20.25	76.27	2.24
12844	1992	3	20.86	70.98	2.16
12844	1992	4	22.27	70.03	1.2
12844	1992	5	24.43	67.37	0.35
12844	1992	6	26.05	82.12	0.8
12844	1992	7	28.24	73.38	0.19
12844	1992	8	27.32	80.07	0.52
12844	1992	9	27.35	78.89	0.3
12844	1992	10	25.02	72.3	1.06
12844	1992	11	23.66	76.35	0.23
12844	1992	12	20.86	75.04	1.84
12844	1993	1	21.41	80.11	2.48
12844	1993	2	19.02	72.25	2.11
12844	1993	3	20.39	73.49	1.06
12844	1993	6	27.33	74.12	0.07
12844	1993	8	27.83	77.98	0.77
12844	1993	10	25.28	86.29	1.58
12844	1993	12	18.45	78.76	2.65
12844	1994	1	19.86	78.5	2.52
12844	1994	3	21.75	74.7	1
12844	1994	4	24.85	73.09	0.63
12844	1994	5	25.77	73.54	0.26
12844	1994	6	26.91	80.12	0.73
12844	1994	7	27.52	75.86	0.23
12844	1994	9	26.68	80.51	0.4
12844	1994	10	25.13	79.78	1.97
12844	1995	1	17.48	76.48	2.61
12844	1995	2	18.64	75.63	2.11
12844	1995	5	27.18	71.51	0.03
12844	1995	11	21.48	71.88	1.1
12912	1990	1	14.94	76.39	3.35
12912	1990	2	15.9	75.04	3.14
12912	1990	3	17.54	79.02	3.94
12912	1990	4	21.27	79.9	3
12912	1990	5	25.54	79.09	1.42
12912	1990	6	28.99	71.85	0.33
12912	1990	7	27.96	75.03	0.84
12912	1990	8	28.84	73.42	0.58
12912	1990	9	26.62	76.31	1.37
12912	1990	10	20.97	72.36	2.06
12912	1990	11	18.38	76.97	3.5
12912	1990	12	12.52	74.56	2.39
12912	1991	1	10.67	82.42	1.71
12912	1991	2	14.79	74.66	2.75
12912	1991	3	18.53	68.11	1.71
12912	1991	4	23.08	83.58	3.37
12912	1991	5	25.29	83.39	2.26
12912	1991	6	27.31	81.08	1.53
12912	1991	7	28.09	79.44	1.58
12912	1991	8	28.26	78.28	1.32
12912	1991	9	25.03	80.4	1.93
12912	1991	10	22.39	77.05	2.87
12912	1991	11	15.18	71.19	2.03
12912	1991	12	14.78	80.7	3.26
12912	1992	1	11.6	76.88	1.61
12912	1992	2	15.85	74.64	2.79
12912	1992	3	18.45	73.88	3.1
12912	1992	4	21.03	75.64	3.1
12912	1992	5	23.49	77.74	2.61
12912	1992	6	28.22	75.91	0.87
12912	1992	7	28.78	74.98	0.97
12912	1992	8	27.43	73.56	0.9
12912	1992	9	26.29	75.46	1.1
12912	1992	10	22.91	74.17	3.32
12912	1992	11	14.83	74.5	2
12912	1992	12	14.48	83.66	3.45
12912	1993	1	12.12	79.83	2.87
12912	1993	2	14.34	77.89	3.04
12912	1993	3	17.12	75.28	3.68
12912	1993	4	20.01	73.81	2.3
12912	1993	5	23.19	77.82	2.03
12912	1993	6	26.77	84.3	1.83
12912	1993	7	28.85	75.08	1.06
12912	1993	8	29.42	70.31	0.23
12912	1993	9	26.98	70.72	0.6
12912	1993	10	21.42	70.73	1.23
12912	1993	11	14.76	75.24	2.5
12912	1993	12	13.92	73.34	2.03
12912	1994	1	12.89	75.74	2.58
12912	1994	2	13.74	79.27	2.96
12912	1994	3	17.15	77.58	3.48
12912	1994	4	21.09	78.94	2.43
12912	1994	5	24.37	81.33	2.23
12912	1994	6	27.76	81.11	1.67
12912	1994	7	28.98	71.02	0.45
12912	1994	8	27.54	79.62	1.1
12912	1994	9	25.11	73.71	1.2
12912	1994	10	22.24	78.61	2.42
12912	1994	11	19.45	75.94	1.87
12912	1994	12	14.66	82.89	2.94
12912	1995	1	13.04	75.2	2.26
12912	1995	2	15.24	76.13	2.93
12912	1995	4	20.66	76.53	2.5
12912	1995	5	25.29	77.81	1.68
12912	1995	7	29.05	73.53	0.55
12912	1995	8	27.99	80.95	1.55
12912	1995	9	26.56	76.23	1.23
12912	1995	10	21.89	67.93	1.13
12912	1995	11	16.61	73.56	2
