"RH"	"C"	"monthly.gam.surface"
81	32	0
81	33	0
81	34	0
81	35	0
82	3	0.157876227563268
82	4	0.187748920412627
82	5	0.218383089217944
82	6	0.257545012086897
82	7	0.314414011797444
82	8	0.399280185355008
82	9	0.522903563440314
82	10	0.689058880579156
82	11	0.894372872651407
82	12	1.12912185228115
82	13	1.38272001434435
82	14	1.64366359467117
82	15	1.90100754913237
82	16	2.14543103648934
82	17	2.36926402525696
82	18	2.56722101358557
82	19	2.71723302325836
82	20	2.77688045156217
82	21	2.70189585683821
82	22	2.43109607459075
82	23	1.98089548380446
82	24	1.43317873130147
82	25	0.89176411624423
82	26	0.438164853136804
82	27	0.0910043392580348
82	28	0
82	29	0
82	30	0
82	31	0
82	32	0
82	33	0
82	34	0
82	35	0
83	3	0.14572373470446
83	4	0.172354165826565
83	5	0.204188138282108
83	6	0.249752192642476
83	7	0.319333654741886
83	8	0.421860006401941
83	9	0.564943630884181
83	10	0.750009366593906
83	11	0.973357489149875
83	12	1.22616669939797
83	13	1.49809780956745
83	14	1.77705492691030
83	15	2.05125855553333
83	16	2.31057899334471
83	17	2.54473870274334
83	18	2.74090229937259
83	19	2.87048448833583
83	20	2.89531336052412
83	21	2.77586950006457
83	22	2.46202901545226
83	23	1.97830468953608
83	24	1.40731476236102
83	25	0.853366544464333
83	26	0.396013546000224
83	27	0.0454613284817077
83	28	0
83	29	0
83	30	0
83	31	0
83	32	0
83	33	0
83	34	0
83	35	0
84	3	0.133719826859452
84	4	0.16104913305109
84	5	0.199235380331263
84	6	0.257221830099908
84	7	0.344216959843334
84	8	0.46778686098205
84	9	0.631017242788393
84	10	0.832915375785612
84	11	1.06914147928933
84	12	1.33285455857566
84	13	1.61423465314431
84	14	1.90001052625386
84	15	2.17763222854273
84	16	2.43534168556727
84	17	2.66001832140575
84	18	2.83215133548119
84	19	2.92355545640214
84	20	2.90536159786475
84	21	2.74488136394415
84	22	2.41267635685959
84	23	1.92535860547235
84	24	1.36037170085031
84	25	0.81722636724117
84	26	0.36947549736783
84	27	0.0215445095095833
84	28	0
84	29	0
84	30	0
84	31	0
84	32	0
84	33	0
84	34	0
84	35	0
85	3	0.120843171502019
85	4	0.152052629050084
85	5	0.200319712056108
85	6	0.274312756706704
85	7	0.380786321651028
85	8	0.524207910042708
85	9	0.704899597357339
85	10	0.920174114135962
85	11	1.16552317213103
85	12	1.43456902968879
85	13	1.71810645241614
85	14	2.00212549946915
85	15	2.27373903859532
85	16	2.51897224840007
85	17	2.7210455951191
85	18	2.85916676536014
85	19	2.90963721667968
85	20	2.84875438521155
85	21	2.65425708994513
85	22	2.31420086332131
85	23	1.84642089450481
85	24	1.31314372785699
85	25	0.799053293333697
85	26	0.370301023690543
85	27	0.0270329771610910
85	28	0
85	29	0
85	30	0
85	31	0
85	32	0
85	33	0
85	34	0
85	35	0
86	3	0.104909238708821
86	4	0.142285693812524
